,,,,,,,,
ID,Show_Name,Ep_Duration,Ep_Number,Genre,Total_Watched,Who_Watched,Finished,Movie_Series
1,The Witcher,57,8,Fantasy,456,Both,Y,Series
2,The Vampire Diaries,40,29,Fantasy,1160,Becca,N,Series
3,Archer,20,13,Comedy,260,Both,N,Series
4,Come Dine With Me Champion of Champions,45,13,Food and Drink,585,Both,N,Series
5,It's Always Sunny in Philadelphia,20,125,Comedy,2500,Both,N,Series
6,Keeping Up With the Kardashians,21,40,Reality TV,840,Becca,Y,Series
7,Dynasty,43,26,Drama,1118,Becca,N,Series
8,The Crown,58,1,Drama,58,Becca,N,Series
9,Dinner Date,45,1,Food and Drink,45,Both,N,Series
10,The Claus Family,97,1,Christmas,97,Becca,Y,Movie
11,Dig Deeper,57,1,Crime,57,Becca,N,Series
12,Arcane,42,9,Fantasy,378,Both,Y,Series
13,Derry Girls,23,6,Comedy,138,Becca,Y,Series
14,Tiger King: The Doc Antle Story,43,6,Documentary,258,Becca,Y,Series
15,Constantine,120,1,Fantasy,120,Both,Y,Movie
16,Start Up,45,10,Drama,450,Becca,Y,Series
17,School of Chocolate,40,8,Food and Drink,320,Becca,Y,Series
18,Jonas Brothers Family Roast,68,1,Comedy,68,Becca,Y,Movie
19,Tiger King: Tiger King 2,45,5,Documentary,225,Becca,Y,Series
20,"Spencer, Vogue and Baby Too",44,2,Reality TV,88,Becca,N,Series
21,My Mad Fat Diary,46,16,Comedy,736,Becca,Y,Series
22,LOL,96,1,Romantic Comedy,96,Becca,Y,Movie
23,Christmas Wedding Planner,86,1,Christmas,86,Becca,Y,Movie
24,Christmas Prince: The Royal Baby,85,1,Christmas,85,Becca,Y,Movie
25,Christmas Prince: The Royal Wedding,93,1,Christmas,93,Becca,Y,Movie
26,Christmas Prince,92,1,Christmas,92,Becca,Y,Movie
27,Father Christmas is Back,105,1,Christmas,105,Becca,Y,Movie
28,The Harder They Fall,139,1,Western,139,Both,Y,Movie
29,Monte Carlo,108,1,Romantic Comedy,108,Becca,Y,Movie
30,Santa Girl,90,1,Christmas,90,Becca,Y,Movie
31,Operation Christmas Drop,96,1,Christmas,96,Becca,Y,Movie
32,A Cinderella Story: Christmas Wish,86,1,Christmas,86,Becca,Y,Movie
33,Christmas Land,85,1,Christmas,85,Becca,Y,Movie
34,Inside the Mind,68,2,Crime,136,Becca,Y,Series
35,The Holiday Calendar,95,1,Christmas,95,Becca,Y,Movie
36,Holiday Rush,94,1,Christmas,94,Becca,Y,Movie
37,The Princess Switch: Switched Again,102,1,Romantic Comedy,102,Becca,Y,Movie
38,Wild Child,98,1,Comedy,98,Becca,Y,Movie
39,Catching Killers,43,4,Crime,172,Becca,Y,Series
40,When Missing Turns to Murder,40,10,Crime,400,Becca,Y,Series
